Joint_0_Angle,Joint_1_Angle,Joint_2_Angle,Joint_3_Angle,Joint_4_Angle,Joint_0_Encoder,Joint_1_Encoder,Joint_2_Encoder,Joint_3_Encoder,Joint_4_Encoder
-0.009395499,-0.007485066,-0.03573839,-0.053215353,0.000846287,-0.031100829,0.035450971,-0.015680348,-0.080199291,0.023199536
-0.074515248,0.04014114,0.005506987,0.08467447,-0.031074123,-0.073233478,-0.003015692,-0.014481175,0.084181766,-0.018928191
0.004320363,-0.068904436,-0.041629795,-0.087334612,-0.058079491,-0.015429919,-0.053332096,-0.078555352,-0.093670481,-0.046044879
-0.017164812,0.08196178,0.052356739,-0.052767737,0.022803338,-0.011073094,0.084397577,0.044855218,-0.033967232,0.008489916
0.057314722,0.009610112,-0.006170729,0.005782962,-0.015795217,0.043579879,0.000771129,-0.021873617,0.017884674,-0.025213561
-0.072549836,0.058110789,-0.007933287,-0.028622621,0.006562388,-0.072992526,0.07804858,-0.025884859,0.004886241,0.030743226
-0.080324513,0.003394021,0.099731183,0.10507459,0.009664444,-0.122958269,0.006942125,0.105647608,0.126868822,-0.023607833
-0.000677282,0.016091332,-0.005649562,-0.043419351,0.072256987,-0.023162843,0.031520595,-0.009845288,-0.043350117,0.047699658
0.006931104,0.040153094,0.059236122,0.001241921,0.092603486,0.012406839,0.036170589,0.052355086,-0.018941586,0.096454779
0.050142176,-0.015316249,-0.016017989,0.077052052,0.002504231,0.025633251,-0.001106908,-0.024118971,0.067471091,-0.019276778
0.020366822,0.003047983,0.063786977,-0.012168574,0.080439383,0.017550742,-0.028810566,0.051591766,-0.040089099,0.093076079
-0.01274642,0.033108669,0.038418474,0.017164428,-0.054786465,-0.021409851,0.005521737,0.033526504,0.001765189,-0.070597579
-0.071245052,0.008548041,-0.029778138,-0.040523006,-0.00886499,-0.030032466,0.028205958,0.000530433,-0.021992261,-0.02697198
0.016533235,-0.073672892,-0.001973961,0.061432212,-0.0463441,0.008843237,-0.098373773,0.00801774,0.046597109,-0.026718446
0.013014402,0.076846587,-0.005711928,0.073188103,-0.001648185,0.022224364,0.095399277,0.024573366,0.071853975,-0.036607089
-0.004437329,0.065643783,0.007456595,0.00581384,-0.106288552,-0.023972207,0.084409289,0.011803375,-0.036540834,-0.085319533
-0.04023446,0.011070741,0.015599664,0.057040102,-0.014773992,-0.056594329,-0.000164908,0.017117512,0.049527357,-0.023192151
0.060095587,0.048470438,-0.000352612,0.036221312,-0.016657995,0.036345538,0.064404191,-0.000312232,0.039116517,-0.010915874
-0.084849734,0.042358791,0.026413766,-0.005284486,-0.009272125,-0.09055161,0.045279969,0.000656205,0.027769301,0.006536473
0.018791532,-0.014558735,0.054204307,0.000345839,-0.203648272,0.01449495,-0.017300735,0.043140774,-0.009394777,-0.205277834
-5.35E-05,-0.042394394,-0.00623301,0.01778007,-0.010151064,0.021995204,-0.021260915,-0.032020667,0.002086314,-0.015113452
-0.0513958,-0.025227353,-0.011576464,-0.033798701,0.034084809,-0.044482913,0.006913964,-0.022536197,-0.014359901,0.031952898
0.016368229,-0.057141456,0.041706514,-0.032700223,-0.002209142,0.020673026,-0.030681542,0.06766353,-0.0096592,0.004449353
0.016655604,0.045436173,0.018200706,-0.081840616,0.038096646,0.009580773,0.031592846,0.035894277,-0.081984827,0.038466207
0.035332016,0.065915263,0.147146883,0.031261338,0.064083149,0.032923735,0.102723723,0.144177197,0.021258622,0.052894669
-0.000682237,0.069913904,0.042544163,0.073935749,-0.039571493,-0.012336034,0.064919425,0.096326511,0.05853635,-0.045399096
0.033406414,0.117315629,-0.028851476,-0.072816036,0.010858186,0.054792286,0.128086839,-0.027566811,-0.064677102,-0.027975186
-0.032555534,-0.043713428,-0.063336834,-0.037144448,-0.046952671,-0.060018673,-0.089710977,-0.050216688,-0.025151584,-0.054121884
-0.143527238,0.039862149,0.108737754,0.065027496,0.078874381,-0.162994954,0.039464607,0.061928332,0.06766544,0.065831881
-0.153650981,0.067705841,0.116308945,-0.045106895,-0.045769462,-0.138446484,0.084065687,0.091080872,-0.059600584,-0.039297742
0.022886667,-0.062158369,0.046817031,0.029706391,-0.045997138,0.046149246,-0.066099549,0.040832355,0.004718784,-0.011193761
0.01396581,-0.024702911,-0.120245328,-0.004501386,-0.008500239,0.019559306,-0.031620153,-0.069315164,-0.011555986,0.00565616
-0.025783079,0.159490354,-0.017755103,-0.014858524,0.01041711,-0.048459427,0.172816492,-0.02323479,0.001124632,0.023347133
-0.030018519,0.032161702,0.102675498,-0.014600987,-0.03812019,-0.011990733,0.035149985,0.097535031,-0.02478543,-0.018047313
0.041196824,0.12462128,0.060460945,-0.038939855,0.023937312,0.033189646,0.113804422,0.064675571,0.027156346,0.023601962
0.030102127,0.043441753,0.033628212,-0.045632985,-0.017438352,0.068224254,0.057864968,0.058750172,-0.045262727,0.001923507
-0.004978015,0.054212176,0.053357173,-0.016800759,-0.139347909,0.031418651,0.049801808,0.049875648,-0.07227154,-0.14468879
